id_istance,predicted linking,correct linking
0,"    private void otaPerformActivation() {
if (DBG) log(""otaPerformActivation()..."");
if (!mInteractive) {
//comment
Log.w(LOG_TAG, ""otaPerformActivation: not interactive!"");
return;
}

if (!mApplication.cdmaOtaProvisionData.inOtaSpcState) {
//comment
Intent newIntent = new Intent(Intent.ACTION_CALL);
newIntent.setData(Uri.fromParts(Constants.SCHEME_TEL, OTASP_NUMBER, null));

//comment
mApplication.callController.placeCall(newIntent);

//comment
otaShowListeningScreen();
mInCallScreen.requestUpdateScreen();
}
return;
}","    private void otaPerformActivation() {
if (DBG) log(""otaPerformActivation()..."");
if (!mInteractive) {
//comment
Log.w(LOG_TAG, ""otaPerformActivation: not interactive!"");
return;
}

if (!mApplication.cdmaOtaProvisionData.inOtaSpcState) {
//comment
<start>Intent newIntent = new Intent(Intent.ACTION_CALL);
newIntent.setData(Uri.fromParts(Constants.SCHEME_TEL, OTASP_NUMBER, null));<end>

//comment
mApplication.callController.placeCall(newIntent);

//comment
otaShowListeningScreen();
mInCallScreen.requestUpdateScreen();
}
return;
}"
4,"    public static boolean isTachyonEnabled(Context context) {
//comment
if (!PermissionsUtil.hasPermission(context, android.Manifest.permission.READ_PHONE_STATE)
|| !CompatUtils.isNCompatible()) {
return false;
}
TelecomManager telecommMgr = (TelecomManager)
context.getSystemService(Context.TELECOM_SERVICE);
if (telecommMgr == null) {
return false;
}
try {
List<PhoneAccountHandle> accountHandles = telecommMgr.getCallCapablePhoneAccounts();
for (PhoneAccountHandle accountHandle : accountHandles) {
PhoneAccount account = telecommMgr.getPhoneAccount(accountHandle);
if (account == null) {
continue;
}
//comment
final Bundle accountExtras = account.getExtras();
final boolean deviceEnabled = accountExtras != null && accountExtras.getBoolean(
EXTRA_SUPPORTS_VIDEO_CALLING_FALLBACK);
if (Log.isLoggable(TAG, Log.DEBUG)) {
Log.d(TAG, ""Device video fallback config: "" + deviceEnabled);
}

//comment
final PersistableBundle carrierConfig = context.getSystemService(
CarrierConfigManager.class).getConfig();
final boolean carrierEnabled =
carrierConfig != null && carrierConfig.getBoolean(
CONFIG_ALLOW_VIDEO_CALLING_FALLBACK);
if (Log.isLoggable(TAG, Log.DEBUG)) {
Log.d(TAG, ""Carrier video fallback config: "" + carrierEnabled);
}

//comment
final boolean experimentEnabled = Flags.getInstance().getBoolean(
Experiments.QUICK_CONTACT_VIDEO_CALL);
if (Log.isLoggable(TAG, Log.DEBUG)) {
Log.d(TAG, ""Experiment video fallback config: "" + experimentEnabled);
}

//comment
return deviceEnabled && carrierEnabled && experimentEnabled;
}
return false;
} catch (SecurityException e) {
FeedbackHelper.sendFeedback(context, TAG,
""Security exception when getting call capable phone accounts"", e);
return false;
}
}","    public static boolean isTachyonEnabled(Context context) {
//comment
if (!PermissionsUtil.hasPermission(context, android.Manifest.permission.READ_PHONE_STATE)
|| !CompatUtils.isNCompatible()) {
return false;
}
TelecomManager telecommMgr = (TelecomManager)
context.getSystemService(Context.TELECOM_SERVICE);
if (telecommMgr == null) {
return false;
}
try {
List<PhoneAccountHandle> accountHandles = telecommMgr.getCallCapablePhoneAccounts();
for (PhoneAccountHandle accountHandle : accountHandles) {
PhoneAccount account = telecommMgr.getPhoneAccount(accountHandle);
if (account == null) {
continue;
}
//comment
final Bundle accountExtras = account.getExtras();
final boolean deviceEnabled = accountExtras != null && accountExtras.getBoolean(
EXTRA_SUPPORTS_VIDEO_CALLING_FALLBACK);
if (Log.isLoggable(TAG, Log.DEBUG)) {
Log.d(TAG, ""Device video fallback config: "" + deviceEnabled);
}

//comment
<start>final PersistableBundle carrierConfig = context.getSystemService(
CarrierConfigManager.class).getConfig();
final boolean carrierEnabled =
carrierConfig != null && carrierConfig.getBoolean(
CONFIG_ALLOW_VIDEO_CALLING_FALLBACK);<end>
if (Log.isLoggable(TAG, Log.DEBUG)) {
Log.d(TAG, ""Carrier video fallback config: "" + carrierEnabled);
}

//comment
final boolean experimentEnabled = Flags.getInstance().getBoolean(
Experiments.QUICK_CONTACT_VIDEO_CALL);
if (Log.isLoggable(TAG, Log.DEBUG)) {
Log.d(TAG, ""Experiment video fallback config: "" + experimentEnabled);
}

//comment
return deviceEnabled && carrierEnabled && experimentEnabled;
}
return false;
} catch (SecurityException e) {
FeedbackHelper.sendFeedback(context, TAG,
""Security exception when getting call capable phone accounts"", e);
return false;
}
}"
5,"private static void updateCdmaCallStateOnNewOutgoingCall(PhoneGlobals app) {
if (app.cdmaPhoneCallState.getCurrentCallState() ==
<start>CdmaPhoneCallState.PhoneCallState.IDLE) {
//comment
app.cdmaPhoneCallState.setCurrentCallState(
CdmaPhoneCallState.PhoneCallState.SINGLE_ACTIVE);<end>
} else {
//comment
app.cdmaPhoneCallState.setCurrentCallState(
CdmaPhoneCallState.PhoneCallState.THRWAY_ACTIVE);
}
}","private static void updateCdmaCallStateOnNewOutgoingCall(PhoneGlobals app) {
<start>if (app.cdmaPhoneCallState.getCurrentCallState() ==
CdmaPhoneCallState.PhoneCallState.IDLE) {
//comment
app.cdmaPhoneCallState.setCurrentCallState(
CdmaPhoneCallState.PhoneCallState.SINGLE_ACTIVE);
} else {<end>
//comment
app.cdmaPhoneCallState.setCurrentCallState(
CdmaPhoneCallState.PhoneCallState.THRWAY_ACTIVE);
}
}"
8,"    private void onProfileClicked(LocalBluetoothProfile profile, CheckBoxPreference profilePref) {
BluetoothDevice device = mCachedDevice.getDevice();

int status = profile.getConnectionStatus(device);
boolean isConnected =
status == BluetoothProfile.STATE_CONNECTED;

if (isConnected) {
askDisconnect(getActivity(), profile);
} else {
if (profile.isPreferred(device)) {
//comment
profile.setPreferred(device, false);
<start>refreshProfilePreference(profilePref, profile);
} else {
profile.setPreferred(device, true);
mCachedDevice.connectProfile(profile);<end>
}
}
}","    private void onProfileClicked(LocalBluetoothProfile profile, CheckBoxPreference profilePref) {
BluetoothDevice device = mCachedDevice.getDevice();

int status = profile.getConnectionStatus(device);
boolean isConnected =
status == BluetoothProfile.STATE_CONNECTED;

if (isConnected) {
askDisconnect(getActivity(), profile);
} else {
<start>if (profile.isPreferred(device)) {
//comment
profile.setPreferred(device, false);
refreshProfilePreference(profilePref, profile);
} else {<end>
profile.setPreferred(device, true);
mCachedDevice.connectProfile(profile);
}
}
}"
9,"public void buildFromCursor(Cursor cursor, String timeZone) {
final Time recycle = new Time(timeZone);
final ArrayList<LinkedList<RowInfo>> mBuckets =
new ArrayList<LinkedList<RowInfo>>(CalendarAppWidgetService.MAX_DAYS);
for (int i = 0; i < CalendarAppWidgetService.MAX_DAYS; i++) {
mBuckets.add(new LinkedList<RowInfo>());
}
recycle.setToNow();
mShowTZ = !TextUtils.equals(timeZone, Time.getCurrentTimezone());
if (mShowTZ) {
mHomeTZName = TimeZone.getTimeZone(timeZone).getDisplayName(recycle.isDst != 0,
TimeZone.SHORT);
}

cursor.moveToPosition(-1);
String tz = Utils.getTimeZone(mContext, null);
while (cursor.moveToNext()) {
final int rowId = cursor.getPosition();
final long eventId = cursor.getLong(CalendarAppWidgetService.INDEX_EVENT_ID);
final boolean allDay = cursor.getInt(CalendarAppWidgetService.INDEX_ALL_DAY) != 0;
long start = cursor.getLong(CalendarAppWidgetService.INDEX_BEGIN);
long end = cursor.getLong(CalendarAppWidgetService.INDEX_END);
final String title = cursor.getString(CalendarAppWidgetService.INDEX_TITLE);
final String location =
cursor.getString(CalendarAppWidgetService.INDEX_EVENT_LOCATION);
//comment
//comment
final int startDay = cursor.getInt(CalendarAppWidgetService.INDEX_START_DAY);
final int endDay = cursor.getInt(CalendarAppWidgetService.INDEX_END_DAY);
final int color = cursor.getInt(CalendarAppWidgetService.INDEX_COLOR);
final int selfStatus = cursor
.getInt(CalendarAppWidgetService.INDEX_SELF_ATTENDEE_STATUS);

//comment
if (allDay) {
start = Utils.convertAlldayUtcToLocal(recycle, start, tz);
end = Utils.convertAlldayUtcToLocal(recycle, end, tz);
}

if (LOGD) {
Log.d(TAG, ""Row #"" + rowId + "" allDay:"" + allDay + "" start:"" + start
+ "" end:"" + end + "" eventId:"" + eventId);
}

//comment
//comment
if (end < mNow) {
continue;
}

int i = mEventInfos.size();
<start>mEventInfos.add(populateEventInfo(eventId, allDay, start, end, startDay, endDay, title,
location, color, selfStatus));
//comment
int from = Math.max(startDay, mTodayJulianDay);
int to = Math.min(endDay, mMaxJulianDay);<end>
for (int day = from; day <= to; day++) {
LinkedList<RowInfo> bucket = mBuckets.get(day - mTodayJulianDay);
RowInfo rowInfo = new RowInfo(RowInfo.TYPE_MEETING, i);
if (allDay) {
bucket.addFirst(rowInfo);
} else {
bucket.add(rowInfo);
}
}
}

int day = mTodayJulianDay;
int count = 0;
for (LinkedList<RowInfo> bucket : mBuckets) {
if (!bucket.isEmpty()) {
//comment
if (day != mTodayJulianDay) {
final DayInfo dayInfo = populateDayInfo(day, recycle);
//comment
final int dayIndex = mDayInfos.size();
mDayInfos.add(dayInfo);
mRowInfos.add(new RowInfo(RowInfo.TYPE_DAY, dayIndex));
}

//comment
mRowInfos.addAll(bucket);
count += bucket.size();
}
day++;
if (count >= CalendarAppWidgetService.EVENT_MIN_COUNT) {
break;
}
}
}","public void buildFromCursor(Cursor cursor, String timeZone) {
final Time recycle = new Time(timeZone);
final ArrayList<LinkedList<RowInfo>> mBuckets =
new ArrayList<LinkedList<RowInfo>>(CalendarAppWidgetService.MAX_DAYS);
for (int i = 0; i < CalendarAppWidgetService.MAX_DAYS; i++) {
mBuckets.add(new LinkedList<RowInfo>());
}
recycle.setToNow();
mShowTZ = !TextUtils.equals(timeZone, Time.getCurrentTimezone());
if (mShowTZ) {
mHomeTZName = TimeZone.getTimeZone(timeZone).getDisplayName(recycle.isDst != 0,
TimeZone.SHORT);
}

cursor.moveToPosition(-1);
String tz = Utils.getTimeZone(mContext, null);
while (cursor.moveToNext()) {
final int rowId = cursor.getPosition();
final long eventId = cursor.getLong(CalendarAppWidgetService.INDEX_EVENT_ID);
final boolean allDay = cursor.getInt(CalendarAppWidgetService.INDEX_ALL_DAY) != 0;
long start = cursor.getLong(CalendarAppWidgetService.INDEX_BEGIN);
long end = cursor.getLong(CalendarAppWidgetService.INDEX_END);
final String title = cursor.getString(CalendarAppWidgetService.INDEX_TITLE);
final String location =
cursor.getString(CalendarAppWidgetService.INDEX_EVENT_LOCATION);
//comment
//comment
final int startDay = cursor.getInt(CalendarAppWidgetService.INDEX_START_DAY);
final int endDay = cursor.getInt(CalendarAppWidgetService.INDEX_END_DAY);
final int color = cursor.getInt(CalendarAppWidgetService.INDEX_COLOR);
final int selfStatus = cursor
.getInt(CalendarAppWidgetService.INDEX_SELF_ATTENDEE_STATUS);

//comment
if (allDay) {
start = Utils.convertAlldayUtcToLocal(recycle, start, tz);
end = Utils.convertAlldayUtcToLocal(recycle, end, tz);
}

if (LOGD) {
Log.d(TAG, ""Row #"" + rowId + "" allDay:"" + allDay + "" start:"" + start
+ "" end:"" + end + "" eventId:"" + eventId);
}

//comment
//comment
if (end < mNow) {
continue;
}

int i = mEventInfos.size();
mEventInfos.add(populateEventInfo(eventId, allDay, start, end, startDay, endDay, title,
location, color, selfStatus));
//comment
int from = Math.max(startDay, mTodayJulianDay);
int to = Math.min(endDay, mMaxJulianDay);
for (int day = from; day <= to; day++) {
LinkedList<RowInfo> bucket = mBuckets.get(day - mTodayJulianDay);
<start>RowInfo rowInfo = new RowInfo(RowInfo.TYPE_MEETING, i);
if (allDay) {
bucket.addFirst(rowInfo);
} else {
bucket.add(rowInfo);<end>
}
}
}

int day = mTodayJulianDay;
int count = 0;
for (LinkedList<RowInfo> bucket : mBuckets) {
if (!bucket.isEmpty()) {
//comment
if (day != mTodayJulianDay) {
final DayInfo dayInfo = populateDayInfo(day, recycle);
//comment
final int dayIndex = mDayInfos.size();
mDayInfos.add(dayInfo);
mRowInfos.add(new RowInfo(RowInfo.TYPE_DAY, dayIndex));
}

//comment
mRowInfos.addAll(bucket);
count += bucket.size();
}
day++;
if (count >= CalendarAppWidgetService.EVENT_MIN_COUNT) {
break;
}
}
}"
12,"        private void onDataLoaded() {
Preconditions.checkNotNull(mMailbox);

//comment
<start>final ActionBar actionBar = getActivity().getActionBar();
final String mailboxName = mMailbox.mDisplayName;<end>
if (actionBar != null) {
actionBar.setTitle(mailboxName);
actionBar.setSubtitle(getString(R.string.mailbox_settings_activity_title));
} else {
getActivity().setTitle(
getString(R.string.mailbox_settings_activity_title_with_mailbox,
mailboxName));
}

MailboxSettings.setupLookbackPreferenceOptions(getActivity(), mSyncLookbackPref,
mMaxLookback, true);
}","        private void onDataLoaded() {
Preconditions.checkNotNull(mMailbox);

//comment
<start>final ActionBar actionBar = getActivity().getActionBar();
final String mailboxName = mMailbox.mDisplayName;<end>
if (actionBar != null) {
<start>actionBar.setTitle(mailboxName);<end>
actionBar.setSubtitle(getString(R.string.mailbox_settings_activity_title));
} else {
getActivity().setTitle(
getString(R.string.mailbox_settings_activity_title_with_mailbox,
mailboxName));
}

MailboxSettings.setupLookbackPreferenceOptions(getActivity(), mSyncLookbackPref,
mMaxLookback, true);
}"
15,"public static void setupOtaspCall(Intent intent) {
if (DBG) log(""setupOtaspCall(): preparing for OTASP call to "" + intent);
PhoneGlobals app = PhoneGlobals.getInstance();

if (app.otaUtils != null) {
//comment
//comment
Log.i(LOG_TAG, ""setupOtaspCall: ""
+ ""OtaUtils already exists; replacing with new instance..."");
}

//comment
app.otaUtils = new OtaUtils(app.getApplicationContext(), true );
if (DBG) log(""- created OtaUtils: "" + app.otaUtils);

//comment
//comment

//comment
//comment
//comment
//comment
//comment
//comment
//comment
//comment
//comment

app.otaUtils.setCdmaOtaInCallScreenUiState(
OtaUtils.CdmaOtaInCallScreenUiState.State.NORMAL);

//comment
//comment
app.inCallUiState.inCallScreenMode = InCallUiState.InCallScreenMode.OTA_NORMAL;

//comment
//comment
//comment
//comment
//comment
//comment
//comment
//comment
//comment
//comment
//comment
//comment
//comment
//comment

//comment
//comment
<start>if (app.cdmaOtaProvisionData != null) {
app.cdmaOtaProvisionData.isOtaCallCommitted = false;
}<end>
}","public static void setupOtaspCall(Intent intent) {
if (DBG) log(""setupOtaspCall(): preparing for OTASP call to "" + intent);
PhoneGlobals app = PhoneGlobals.getInstance();

if (app.otaUtils != null) {
//comment
//comment
Log.i(LOG_TAG, ""setupOtaspCall: ""
+ ""OtaUtils already exists; replacing with new instance..."");
}

//comment
app.otaUtils = new OtaUtils(app.getApplicationContext(), true );
if (DBG) log(""- created OtaUtils: "" + app.otaUtils);

//comment
//comment

//comment
//comment
//comment
//comment
//comment
//comment
//comment
//comment
//comment

app.otaUtils.setCdmaOtaInCallScreenUiState(
OtaUtils.CdmaOtaInCallScreenUiState.State.NORMAL);

//comment
//comment
app.inCallUiState.inCallScreenMode = InCallUiState.InCallScreenMode.OTA_NORMAL;

//comment
//comment
//comment
//comment
//comment
//comment
//comment
//comment
//comment
//comment
//comment
//comment
//comment
//comment

//comment
//comment
<start>if (app.cdmaOtaProvisionData != null) {
app.cdmaOtaProvisionData.isOtaCallCommitted = false;
}<end>
}"
18,"    @VisibleForTesting
public boolean waitForWriteToCompleteForTesting(long maxWaitMillis) {
final long start = SystemClock.uptimeMillis();
final long end = start + maxWaitMillis;
synchronized (mWriteScheduleLock) {
while (mWriteScheduled || mWriteInProgress) {
final long now = SystemClock.uptimeMillis();
if (now >= end) {
//comment
<start>return false;<end>
}
try {
mWriteScheduleLock.wait(now - start + maxWaitMillis);
} catch (InterruptedException e) {
//comment
break;
}
}
}
return true;
}","    @VisibleForTesting
public boolean waitForWriteToCompleteForTesting(long maxWaitMillis) {
final long start = SystemClock.uptimeMillis();
final long end = start + maxWaitMillis;
synchronized (mWriteScheduleLock) {
while (mWriteScheduled || mWriteInProgress) {
final long now = SystemClock.uptimeMillis();
<start>if (now >= end) {
//comment
return false;
}<end>
try {
mWriteScheduleLock.wait(now - start + maxWaitMillis);
} catch (InterruptedException e) {
//comment
break;
}
}
}
return true;
}"
20,"private static void updateWidget(Context context, int appWidgetId) {
if (Log.isLoggable(LogTag.WIDGET, Log.VERBOSE)) {
Log.v(TAG, ""updateWidget appWidgetId: "" + appWidgetId);
}
RemoteViews remoteViews = new RemoteViews(context.getPackageName(), R.layout.widget);
PendingIntent clickIntent;

//comment
final Intent intent = new Intent(context, MmsWidgetService.class);
intent.putExtra(AppWidgetManager.EXTRA_APPWIDGET_ID, appWidgetId);
intent.setData(Uri.parse(intent.toUri(Intent.URI_INTENT_SCHEME)));
remoteViews.setRemoteAdapter(appWidgetId, R.id.conversation_list, intent);

remoteViews.setTextViewText(R.id.widget_label, context.getString(R.string.app_label));

//comment
<start>final Intent convIntent = new Intent(context, ConversationList.class);<end>
clickIntent = PendingIntent.getActivity(
context, 0, convIntent, PendingIntent.FLAG_UPDATE_CURRENT);
remoteViews.setOnClickPendingIntent(R.id.widget_header, clickIntent);

//comment
final Intent composeIntent = new Intent(context, ComposeMessageActivity.class);
composeIntent.setAction(Intent.ACTION_SENDTO);
clickIntent = PendingIntent.getActivity(
context, 0, composeIntent, PendingIntent.FLAG_UPDATE_CURRENT);
remoteViews.setOnClickPendingIntent(R.id.widget_compose, clickIntent);

//comment
TaskStackBuilder taskStackBuilder = TaskStackBuilder.create(context);
taskStackBuilder.addParentStack(ComposeMessageActivity.class);
Intent msgIntent = new Intent(Intent.ACTION_VIEW);
msgIntent.setType(""vnd.android-dir/mms-sms"");
taskStackBuilder.addNextIntent(msgIntent);
remoteViews.setPendingIntentTemplate(R.id.conversation_list,
taskStackBuilder.getPendingIntent(0, PendingIntent.FLAG_UPDATE_CURRENT));

AppWidgetManager.getInstance(context).updateAppWidget(appWidgetId, remoteViews);
}","private static void updateWidget(Context context, int appWidgetId) {
if (Log.isLoggable(LogTag.WIDGET, Log.VERBOSE)) {
Log.v(TAG, ""updateWidget appWidgetId: "" + appWidgetId);
}
RemoteViews remoteViews = new RemoteViews(context.getPackageName(), R.layout.widget);
PendingIntent clickIntent;

//comment
final Intent intent = new Intent(context, MmsWidgetService.class);
intent.putExtra(AppWidgetManager.EXTRA_APPWIDGET_ID, appWidgetId);
intent.setData(Uri.parse(intent.toUri(Intent.URI_INTENT_SCHEME)));
remoteViews.setRemoteAdapter(appWidgetId, R.id.conversation_list, intent);

remoteViews.setTextViewText(R.id.widget_label, context.getString(R.string.app_label));

//comment
<start>final Intent convIntent = new Intent(context, ConversationList.class);
clickIntent = PendingIntent.getActivity(
context, 0, convIntent, PendingIntent.FLAG_UPDATE_CURRENT);
remoteViews.setOnClickPendingIntent(R.id.widget_header, clickIntent);<end>

//comment
final Intent composeIntent = new Intent(context, ComposeMessageActivity.class);
composeIntent.setAction(Intent.ACTION_SENDTO);
clickIntent = PendingIntent.getActivity(
context, 0, composeIntent, PendingIntent.FLAG_UPDATE_CURRENT);
remoteViews.setOnClickPendingIntent(R.id.widget_compose, clickIntent);

//comment
TaskStackBuilder taskStackBuilder = TaskStackBuilder.create(context);
taskStackBuilder.addParentStack(ComposeMessageActivity.class);
Intent msgIntent = new Intent(Intent.ACTION_VIEW);
msgIntent.setType(""vnd.android-dir/mms-sms"");
taskStackBuilder.addNextIntent(msgIntent);
remoteViews.setPendingIntentTemplate(R.id.conversation_list,
taskStackBuilder.getPendingIntent(0, PendingIntent.FLAG_UPDATE_CURRENT));

AppWidgetManager.getInstance(context).updateAppWidget(appWidgetId, remoteViews);
}"
23,"    private boolean handlePossibleVerticalSwipe(MotionEvent event) {
if (mGestureDirectionLocked) {
return mPossibleVerticalSwipe;
}
float deltaX = Math.abs(mStartX - event.getX());
float deltaY = Math.abs(mStartY - event.getY());
<start>float distance = (deltaX * deltaX) + (deltaY * deltaY);<end>
//comment
//comment
if (distance > (mTouchSlop * mTouchSlop)) {
<start>if (deltaX > deltaY) {
mPossibleVerticalSwipe = false;
}
mGestureDirectionLocked = true;<end>
}
return mPossibleVerticalSwipe;
}","    private boolean handlePossibleVerticalSwipe(MotionEvent event) {
if (mGestureDirectionLocked) {
return mPossibleVerticalSwipe;
}
float deltaX = Math.abs(mStartX - event.getX());
float deltaY = Math.abs(mStartY - event.getY());
float distance = (deltaX * deltaX) + (deltaY * deltaY);
//comment
//comment
<start>if (distance > (mTouchSlop * mTouchSlop)) {
if (deltaX > deltaY) {
mPossibleVerticalSwipe = false;
}
mGestureDirectionLocked = true;
}<end>
return mPossibleVerticalSwipe;
}"
